Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6478c9970868766b77e0b9b4,62b9bd2b93657665bf0fc91d,APPROVED,2023-06-01T16:39:21.478000Z,2023-06-01T17:11:15.742000Z,2023-06-02T16:14:03.366000,2023-06-01T17:11:16.240683Z,1915,C8CDCVNZ,1292,English,26,Female,White,United Kingdom,United States,United Kingdom,English,No,Full-Time
6478c9c2b72e63819ec4639d,61265e53740259c87b17cc66,APPROVED,2023-06-01T16:39:52.697000Z,2023-06-01T17:34:28.121000Z,2023-06-02T16:14:07.513000,2023-06-01T17:34:28.831966Z,3276,C8CDCVNZ,484,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478ca0cd975272eb684fd6e,60eaeaa416ee31f32d13393c,APPROVED,2023-06-01T16:40:44.411000Z,2023-06-01T17:08:30.672000Z,2023-06-02T16:14:07.671000,2023-06-01T17:08:31.293891Z,1667,C8CDCVNZ,714,"English, Lithuanian",29,Male,White,Lithuania,United Kingdom,Lithuania,Lithuanian,No,Unemployed (and job seeking)
6478cab079c085743886f224,6077dd4c0a8ff92267e84b6e,AWAITING REVIEW,2023-06-01T16:45:01.204000Z,2023-06-01T17:15:52.668000Z,,2023-06-01T17:15:53.182334Z,1852,C8CDCVNZ,603,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6478cc7a9749e7f4588d6eda,601623c50446147b23a5bdff,APPROVED,2023-06-01T16:51:06.556000Z,2023-06-01T18:02:15.495000Z,2023-06-02T16:14:07.819000,2023-06-01T18:02:46.706172Z,4269,C8CDCVNZ,1022,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
647fac33957e5cf0fe3e60eb,6101dc22792e9c78fabb1eff,AWAITING REVIEW,2023-06-06T21:59:24.641000Z,2023-06-06T22:27:00.953000Z,,2023-06-06T22:27:01.407878Z,1657,C8CDCVNZ,457,"English, Spanish",22,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
647fac429f1157e48a01e44a,5e29cf1d16ab4503622525eb,AWAITING REVIEW,2023-06-06T21:59:30.780000Z,2023-06-06T22:26:11.024000Z,,2023-06-06T22:26:11.479418Z,1601,C8CDCVNZ,650,"English, Hindi",59,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647fac601246bf7b01d23650,5e1297656e8aab8e8a1b3b76,AWAITING REVIEW,2023-06-06T22:00:00.013000Z,2023-06-06T22:53:33.520000Z,,2023-06-06T22:53:33.881637Z,3214,C8CDCVNZ,1091,English,45,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647fac64774fe763a61ed3aa,64136267f602b2ce96ddfaae,AWAITING REVIEW,2023-06-06T22:00:04.066000Z,2023-06-06T22:38:29.703000Z,,2023-06-06T22:38:30.220553Z,2306,C8CDCVNZ,79,"English, Greek",27,Male,White,Greece,United Kingdom,Greece,Greek,No,Full-Time
647fac872afd68d203c62e4a,616446c54ec10a56f2070911,AWAITING REVIEW,2023-06-06T22:00:43.839000Z,2023-06-06T22:49:55.155000Z,,2023-06-06T22:49:56.139198Z,2952,C8CDCVNZ,542,English,43,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
